ANIO,ID_LOCALIDAD,LOCALIDAD,Hombres,Mujeres,TOTAL
2010,0,Bogotá,3406262,3690624,7096886
2010,1,Usaquén,224356,264494,488850
2010,2,Chapinero,65872,76881,142753
2010,3,Santa Fe,49963,50214,100177
2010,4,San Cristóbal,188149,198861,387010
2010,5,Usme,165329,170448,335777
2010,6,Tunjuelito,84303,88932,173235
2010,7,Bosa,302852,316847,619699
2010,8,Kennedy,474630,505568,980198
2010,9,Fontibón,160569,177517,338086
2010,10,Engativá,372705,411699,784404
2010,11,Suba,499292,556620,1055912
2010,12,Barrios Unidos,77419,84502,161921
2010,13,Teusaquillo,64188,75910,140098
2010,14,Los Mártires,38684,40913,79597
2010,15,Antonio Nariño,43488,47152,90640
2010,16,Puente Aranda,115717,127253,242970
2010,17,La Candelaria,9540,9210,18750
2010,18,Rafael Uribe,177171,186410,363581
2010,19,Ciudad Bolívar,290043,299247,589290
2010,20,Sumapaz,1992,1946,3938
2011,0,Bogotá,3431791,3720865,7152656
2011,1,Usaquén,228669,269464,498133
2011,2,Chapinero,67338,78117,145455
2011,3,Santa Fe,50242,50557,100799
2011,4,San Cristóbal,187568,198500,386068
2011,5,Usme,167770,173168,340938
2011,6,Tunjuelito,84070,88543,172613
2011,7,Bosa,309647,325004,634651
2011,8,Kennedy,477723,509377,987100
2011,9,Fontibón,163006,180498,343504
2011,10,Engativá,372757,412178,784935
2011,11,Suba,507997,566808,1074805
2011,12,Barrios Unidos,74472,81042,155514
2011,13,Teusaquillo,64340,76510,140850
2011,14,Los Mártires,37709,40410,78119
2011,15,Antonio Nariño,42185,45880,88065
2011,16,Puente Aranda,115831,126757,242588
2011,17,La Candelaria,9343,9020,18363
2011,18,Rafael Uribe,177224,185996,363220
2011,19,Ciudad Bolívar,292020,301202,593222
2011,20,Sumapaz,1880,1834,3714
2012,0,Bogotá,3451673,3744307,7195980
2012,1,Usaquén,232204,273453,505657
2012,2,Chapinero,68603,79055,147658
2012,3,Santa Fe,50461,50835,101296
2012,4,San Cristóbal,186986,198109,385095
2012,5,Usme,169755,175373,345128
2012,6,Tunjuelito,83865,88147,172012
2012,7,Bosa,315101,331786,646887
2012,8,Kennedy,480063,512335,992398
2012,9,Fontibón,164947,182936,347883
2012,10,Engativá,372617,412366,784983
2012,11,Suba,515061,575075,1090136
2012,12,Barrios Unidos,71971,78092,150063
2012,13,Teusaquillo,64390,77005,141395
2012,14,Los Mártires,36820,40029,76849
2012,15,Antonio Nariño,41051,44801,85852
2012,16,Puente Aranda,115964,126174,242138
2012,17,La Candelaria,9179,8851,18030
2012,18,Rafael Uribe,177245,185469,362714
2012,19,Ciudad Bolívar,293601,302668,596269
2012,20,Sumapaz,1789,1748,3537
2013,0,Bogotá,3466060,3762367,7228427
2013,1,Usaquén,235036,276631,511667
2013,2,Chapinero,69685,79727,149412
2013,3,Santa Fe,50613,51053,101666
2013,4,San Cristóbal,186353,197718,384071
2013,5,Usme,171345,177171,348516
2013,6,Tunjuelito,83668,87749,171417
2013,7,Bosa,319347,337422,656769
2013,8,Kennedy,481661,514630,996291
2013,9,Fontibón,166431,184915,351346
2013,10,Engativá,372241,412346,784587
2013,11,Suba,520604,581757,1102361
2013,12,Barrios Unidos,69836,75597,145433
2013,13,Teusaquillo,64352,77420,141772
2013,14,Los Mártires,35987,39740,75727
2013,15,Antonio Nariño,40071,43884,83955
2013,16,Puente Aranda,116099,125539,241638
2013,17,La Candelaria,9033,8709,17742
2013,18,Rafael Uribe,177213,184905,362118
2013,19,Ciudad Bolívar,294764,303775,598539
2013,20,Sumapaz,1721,1679,3400
2014,0,Bogotá,3476538,3776411,7252949
2014,1,Usaquén,237319,279168,516487
